;model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg.1;w+c;similarity_threshold;pearsonr;pearson_pval;absr
2;svd;False;False;False;False;10;1;100;1;1;1;False;0.8;-0.177;0.0029;0.177
10;svd;False;True;False;False;10;1;100;1;1;1;False;0.8;-0.177;0.0029;0.177
