;model;del;dyn;pos;sub;thr;win;alpha;iters;negative;pow;size;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval;absr
1;sgns;False;False;False;False;10;1;False;False;15;1;100;1;1;False;0.7;0.3078;0.0016;0.3078
5;sgns;False;True;False;False;10;1;False;False;15;1;100;1;1;False;0.7;0.3078;0.0016;0.3078
