model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;True;False;False;50;2;100;15;1;1;False;0.90;0.0568;0.3429
svd;False;False;False;False;100;2;100;1;1;1;False;0.60;-0.0619;0.3064
svd;False;False;False;False;100;2;100;1;1;1;False;0.70;-0.0403;0.5055
svd;False;False;False;False;100;2;100;1;1;1;False;0.80;-0.0782;0.1962
svd;False;False;False;False;100;2;100;1;1;1;False;0.90;-0.1113;0.0653
svd;False;False;False;False;100;2;100;15;1;1;False;0.60;0.0245;0.6859
svd;False;False;False;False;100;2;100;15;1;1;False;0.70;0.0440;0.4672
svd;False;False;False;False;100;2;100;15;1;1;False;0.80;0.0312;0.6069
svd;False;False;False;False;100;2;100;15;1;1;False;0.90;0.0061;0.9199
svd;False;True;False;False;100;2;100;1;1;1;False;0.60;-0.0869;0.1509
svd;False;True;False;False;100;2;100;1;1;1;False;0.70;-0.0935;0.1217
svd;False;True;False;False;100;2;100;1;1;1;False;0.80;-0.1015;0.0930
svd;False;True;False;False;100;2;100;1;1;1;False;0.90;-0.0748;0.2164
svd;False;True;False;False;100;2;100;15;1;1;False;0.60;0.0145;0.8108
svd;False;True;False;False;100;2;100;15;1;1;False;0.70;0.0211;0.7276
svd;False;True;False;False;100;2;100;15;1;1;False;0.80;0.0738;0.2224
svd;False;True;False;False;100;2;100;15;1;1;False;0.90;0.0314;0.6043
svd;False;False;False;False;10;3;100;1;1;1;False;0.60;0.0787;0.1875
svd;False;False;False;False;10;3;100;1;1;1;False;0.70;0.0237;0.6918
svd;False;False;False;False;10;3;100;1;1;1;False;0.80;-0.0375;0.5310
svd;False;False;False;False;10;3;100;1;1;1;False;0.90;-0.0630;0.2916
svd;False;False;False;False;10;3;100;15;1;1;False;0.60;-0.0217;0.7164
svd;False;False;False;False;10;3;100;15;1;1;False;0.70;0.0034;0.9541
svd;False;False;False;False;10;3;100;15;1;1;False;0.80;0.0397;0.5066
svd;False;False;False;False;10;3;100;15;1;1;False;0.90;0.0186;0.7557
svd;False;True;False;False;10;3;100;1;1;1;False;0.60;0.0512;0.3920
svd;False;True;False;False;10;3;100;1;1;1;False;0.70;0.0200;0.7382
svd;False;True;False;False;10;3;100;1;1;1;False;0.80;-0.0389;0.5150
svd;False;True;False;False;10;3;100;1;1;1;False;0.90;-0.0589;0.3247
svd;False;True;False;False;10;3;100;15;1;1;False;0.60;0.0213;0.7212
svd;False;True;False;False;10;3;100;15;1;1;False;0.70;0.0324;0.5883
svd;False;True;False;False;10;3;100;15;1;1;False;0.80;0.0283;0.6358
svd;False;True;False;False;10;3;100;15;1;1;False;0.90;0.0215;0.7191
svd;False;False;False;False;50;3;100;1;1;1;False;0.60;-0.0287;0.6315
svd;False;False;False;False;50;3;100;1;1;1;False;0.70;-0.0569;0.3421
svd;False;False;False;False;50;3;100;1;1;1;False;0.80;-0.0773;0.1964
svd;False;False;False;False;50;3;100;1;1;1;False;0.90;-0.0829;0.1659
svd;False;False;False;False;50;3;100;15;1;1;False;0.60;0.0030;0.9599
svd;False;False;False;False;50;3;100;15;1;1;False;0.70;0.0480;0.4227
svd;False;False;False;False;50;3;100;15;1;1;False;0.80;0.0470;0.4326
svd;False;False;False;False;50;3;100;15;1;1;False;0.90;0.0529;0.3774
svd;False;True;False;False;50;3;100;1;1;1;False;0.60;-0.0408;0.4960
svd;False;True;False;False;50;3;100;1;1;1;False;0.70;-0.0226;0.7066
svd;False;True;False;False;50;3;100;1;1;1;False;0.80;-0.0652;0.2761
svd;False;True;False;False;50;3;100;1;1;1;False;0.90;-0.0829;0.1656
svd;False;True;False;False;50;3;100;15;1;1;False;0.60;-0.0545;0.3627
svd;False;True;False;False;50;3;100;15;1;1;False;0.70;-0.0102;0.8644
svd;False;True;False;False;50;3;100;15;1;1;False;0.80;-0.0143;0.8109
svd;False;True;False;False;50;3;100;15;1;1;False;0.90;-0.0216;0.7191
svd;False;False;False;False;100;3;100;1;1;1;False;0.60;-0.0873;0.1489
svd;False;False;False;False;100;3;100;1;1;1;False;0.70;-0.0963;0.1112
svd;False;False;False;False;100;3;100;1;1;1;False;0.80;-0.1285;0.0332
svd;False;False;False;False;100;3;100;1;1;1;False;0.90;-0.0850;0.1597
svd;False;False;False;False;100;3;100;15;1;1;False;0.60;0.0544;0.3686
svd;False;False;False;False;100;3;100;15;1;1;False;0.70;0.0515;0.3951
svd;False;False;False;False;100;3;100;15;1;1;False;0.80;0.0497;0.4112
svd;False;False;False;False;100;3;100;15;1;1;False;0.90;0.0547;0.3659
svd;False;True;False;False;100;3;100;1;1;1;False;0.60;-0.0792;0.1903
svd;False;True;False;False;100;3;100;1;1;1;False;0.70;-0.0830;0.1700
svd;False;True;False;False;100;3;100;1;1;1;False;0.80;-0.1251;0.0381
svd;False;True;False;False;100;3;100;1;1;1;False;0.90;-0.0748;0.2164
svd;False;True;False;False;100;3;100;15;1;1;False;0.60;0.0337;0.5774
svd;False;True;False;False;100;3;100;15;1;1;False;0.70;0.0092;0.8796
svd;False;True;False;False;100;3;100;15;1;1;False;0.80;-0.0628;0.2993
svd;False;True;False;False;100;3;100;15;1;1;False;0.90;0.0041;0.9458
svd;False;False;False;False;10;4;100;1;1;1;False;0.60;0.0573;0.3373
svd;False;False;False;False;10;4;100;1;1;1;False;0.70;0.0123;0.8377
svd;False;False;False;False;10;4;100;1;1;1;False;0.80;-0.0357;0.5510
svd;False;False;False;False;10;4;100;1;1;1;False;0.90;0.0094;0.8754
svd;False;False;False;False;10;4;100;15;1;1;False;0.60;-0.0184;0.7581
svd;False;False;False;False;10;4;100;15;1;1;False;0.70;-0.0195;0.7446
svd;False;False;False;False;10;4;100;15;1;1;False;0.80;0.0032;0.9569
svd;False;False;False;False;10;4;100;15;1;1;False;0.90;0.0484;0.4183
svd;False;True;False;False;10;4;100;1;1;1;False;0.60;0.0480;0.4225
svd;False;True;False;False;10;4;100;1;1;1;False;0.70;0.0152;0.7991
svd;False;True;False;False;10;4;100;1;1;1;False;0.80;-0.0409;0.4935
svd;False;True;False;False;10;4;100;1;1;1;False;0.90;0.0078;0.8957
svd;False;True;False;False;10;4;100;15;1;1;False;0.60;-0.0174;0.7712
svd;False;True;False;False;10;4;100;15;1;1;False;0.70;-0.0004;0.9941
svd;False;True;False;False;10;4;100;15;1;1;False;0.80;0.0185;0.7570
svd;False;True;False;False;10;4;100;15;1;1;False;0.90;0.0491;0.4115
svd;False;False;False;False;50;4;100;1;1;1;False;0.60;-0.0700;0.2423
svd;False;False;False;False;50;4;100;1;1;1;False;0.70;-0.0896;0.1339
svd;False;False;False;False;50;4;100;1;1;1;False;0.80;-0.0670;0.2632
svd;False;False;False;False;50;4;100;1;1;1;False;0.90;-0.0450;0.4528
svd;False;False;False;False;50;4;100;15;1;1;False;0.60;0.0246;0.6811
svd;False;False;False;False;50;4;100;15;1;1;False;0.70;0.0398;0.5065
svd;False;False;False;False;50;4;100;15;1;1;False;0.80;0.0520;0.3853
svd;False;False;False;False;50;4;100;15;1;1;False;0.90;0.0544;0.3637
svd;False;True;False;False;50;4;100;1;1;1;False;0.60;-0.0954;0.1106
svd;False;True;False;False;50;4;100;1;1;1;False;0.70;-0.0716;0.2313
svd;False;True;False;False;50;4;100;1;1;1;False;0.80;-0.0541;0.3660
svd;False;True;False;False;50;4;100;1;1;1;False;0.90;-0.0944;0.1145
svd;False;True;False;False;50;4;100;15;1;1;False;0.60;-0.0014;0.9815
svd;False;True;False;False;50;4;100;15;1;1;False;0.70;0.0333;0.5784
svd;False;True;False;False;50;4;100;15;1;1;False;0.80;0.0519;0.3859
svd;False;True;False;False;50;4;100;15;1;1;False;0.90;0.0536;0.3703
svd;False;False;False;False;100;4;100;1;1;1;False;0.60;-0.0915;0.1303
svd;False;False;False;False;100;4;100;1;1;1;False;0.70;-0.1103;0.0678
svd;False;False;False;False;100;4;100;1;1;1;False;0.80;-0.1315;0.0293
svd;False;False;False;False;100;4;100;1;1;1;False;0.90;-0.0174;0.7735
svd;False;False;False;False;100;4;100;15;1;1;False;0.60;0.0511;0.3983
svd;False;False;False;False;100;4;100;15;1;1;False;0.70;0.0485;0.4233
svd;False;False;False;False;100;4;100;15;1;1;False;0.80;0.0512;0.3978
svd;False;False;False;False;100;4;100;15;1;1;False;0.90;0.0562;0.3532
svd;False;True;False;False;100;4;100;1;1;1;False;0.60;-0.1090;0.0711
