model;del;dyn;pos;sub;thr;win;dim;neg;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
svd;False;True;False;False;50;2;100;15;1;1;False;0.90;0.1403;0.1576
svd;False;False;False;False;100;2;100;1;1;1;False;0.60;-0.0246;0.8053
svd;False;False;False;False;100;2;100;1;1;1;False;0.70;-0.0281;0.7781
svd;False;False;False;False;100;2;100;1;1;1;False;0.80;0.0076;0.9390
svd;False;False;False;False;100;2;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;False;False;False;100;2;100;15;1;1;False;0.60;-0.0439;0.6599
svd;False;False;False;False;100;2;100;15;1;1;False;0.70;-0.0274;0.7839
svd;False;False;False;False;100;2;100;15;1;1;False;0.80;-0.0100;0.9201
svd;False;False;False;False;100;2;100;15;1;1;False;0.90;0.0006;0.9955
svd;False;True;False;False;100;2;100;1;1;1;False;0.60;-0.0064;0.9489
svd;False;True;False;False;100;2;100;1;1;1;False;0.70;-0.0212;0.8314
svd;False;True;False;False;100;2;100;1;1;1;False;0.80;0.0588;0.5549
svd;False;True;False;False;100;2;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;True;False;False;100;2;100;15;1;1;False;0.60;0.1186;0.2329
svd;False;True;False;False;100;2;100;15;1;1;False;0.70;0.1416;0.1538
svd;False;True;False;False;100;2;100;15;1;1;False;0.80;0.1582;0.1105
svd;False;True;False;False;100;2;100;15;1;1;False;0.90;0.1649;0.0960
svd;False;False;False;False;10;3;100;1;1;1;False;0.60;-0.0029;0.9765
svd;False;False;False;False;10;3;100;1;1;1;False;0.70;0.0037;0.9706
svd;False;False;False;False;10;3;100;1;1;1;False;0.80;-0.0276;0.7822
svd;False;False;False;False;10;3;100;1;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;10;3;100;15;1;1;False;0.60;-0.1269;0.2014
svd;False;False;False;False;10;3;100;15;1;1;False;0.70;-0.1233;0.2147
svd;False;False;False;False;10;3;100;15;1;1;False;0.80;0.0256;0.7976
svd;False;False;False;False;10;3;100;15;1;1;False;0.90;-0.0115;0.9083
svd;False;True;False;False;10;3;100;1;1;1;False;0.60;-0.0013;0.9893
svd;False;True;False;False;10;3;100;1;1;1;False;0.70;-0.0126;0.8991
svd;False;True;False;False;10;3;100;1;1;1;False;0.80;-0.0002;0.9985
svd;False;True;False;False;10;3;100;1;1;1;False;0.90;nan;1.0000
svd;False;True;False;False;10;3;100;15;1;1;False;0.60;-0.1887;0.0563
svd;False;True;False;False;10;3;100;15;1;1;False;0.70;-0.2375;0.0157
svd;False;True;False;False;10;3;100;15;1;1;False;0.80;-0.1285;0.1958
svd;False;True;False;False;10;3;100;15;1;1;False;0.90;-0.1069;0.2826
svd;False;False;False;False;50;3;100;1;1;1;False;0.60;-0.0052;0.9585
svd;False;False;False;False;50;3;100;1;1;1;False;0.70;0.0113;0.9096
svd;False;False;False;False;50;3;100;1;1;1;False;0.80;-0.0403;0.6864
svd;False;False;False;False;50;3;100;1;1;1;False;0.90;nan;1.0000
svd;False;False;False;False;50;3;100;15;1;1;False;0.60;-0.0097;0.9227
svd;False;False;False;False;50;3;100;15;1;1;False;0.70;0.0082;0.9344
svd;False;False;False;False;50;3;100;15;1;1;False;0.80;0.0148;0.8818
svd;False;False;False;False;50;3;100;15;1;1;False;0.90;0.0170;0.8648
svd;False;True;False;False;50;3;100;1;1;1;False;0.60;0.0203;0.8389
svd;False;True;False;False;50;3;100;1;1;1;False;0.70;-0.0159;0.8731
svd;False;True;False;False;50;3;100;1;1;1;False;0.80;-0.0094;0.9248
svd;False;True;False;False;50;3;100;1;1;1;False;0.90;0.2095;0.0337
svd;False;True;False;False;50;3;100;15;1;1;False;0.60;0.1070;0.2820
svd;False;True;False;False;50;3;100;15;1;1;False;0.70;0.1259;0.2051
svd;False;True;False;False;50;3;100;15;1;1;False;0.80;0.1335;0.1790
svd;False;True;False;False;50;3;100;15;1;1;False;0.90;0.1379;0.1649
svd;False;False;False;False;100;3;100;1;1;1;False;0.60;-0.0362;0.7165
svd;False;False;False;False;100;3;100;1;1;1;False;0.70;-0.0224;0.8223
svd;False;False;False;False;100;3;100;1;1;1;False;0.80;-0.1527;0.1235
svd;False;False;False;False;100;3;100;1;1;1;False;0.90;nan;1.0000
