model;del;dyn;pos;sub;thr;win;alpha;iters;negative;pow;size;eig;neg;w+c;similarity_threshold;pearsonr;pearson_pval
sgns;False;False;False;False;50;3;False;False;15;1;100;1;1;False;0.90;0.0682;0.2547
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.60;0.4412;0.0000
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.70;0.4274;0.0000
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.80;0.3121;0.0000
sgns;False;True;False;False;50;3;False;False;15;1;100;1;1;False;0.90;0.0819;0.1710
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.60;0.3580;0.0000
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.70;0.2900;0.0000
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.80;0.2110;0.0004
sgns;False;False;False;False;100;3;False;False;15;1;100;1;1;False;0.90;0.1500;0.0127
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.60;0.3993;0.0000
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.70;0.3767;0.0000
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.80;0.2926;0.0000
sgns;False;True;False;False;100;3;False;False;15;1;100;1;1;False;0.90;0.2204;0.0002
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.60;0.4047;0.0000
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.70;0.3794;0.0000
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.80;0.1742;0.0033
sgns;False;False;False;False;10;4;False;False;15;1;100;1;1;False;0.90;0.0249;0.6766
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.60;0.4102;0.0000
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.70;0.4205;0.0000
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.80;0.2458;0.0000
sgns;False;True;False;False;10;4;False;False;15;1;100;1;1;False;0.90;0.0366;0.5403
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.60;0.4147;0.0000
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.70;0.3437;0.0000
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.80;0.1729;0.0037
sgns;False;False;False;False;50;4;False;False;15;1;100;1;1;False;0.90;0.0706;0.2383
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.60;0.4446;0.0000
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.70;0.4138;0.0000
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.80;0.2729;0.0000
sgns;False;True;False;False;50;4;False;False;15;1;100;1;1;False;0.90;0.0673;0.2608
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.60;0.3320;0.0000
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.70;0.2430;0.0000
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.80;0.1856;0.0020
sgns;False;False;False;False;100;4;False;False;15;1;100;1;1;False;0.90;0.1580;0.0087
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.60;0.3790;0.0000
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.70;0.3332;0.0000
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.80;0.2327;0.0001
sgns;False;True;False;False;100;4;False;False;15;1;100;1;1;False;0.90;0.2586;0.0000
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.60;0.4084;0.0000
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.70;0.3675;0.0000
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.80;0.1576;0.0080
sgns;False;False;False;False;10;5;False;False;15;1;100;1;1;False;0.90;0.0238;0.6906
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.60;0.3962;0.0000
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.70;0.4187;0.0000
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.80;0.2379;0.0001
sgns;False;True;False;False;10;5;False;False;15;1;100;1;1;False;0.90;0.0336;0.5742
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.60;0.4031;0.0000
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.70;0.3283;0.0000
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.80;0.1564;0.0087
sgns;False;False;False;False;50;5;False;False;15;1;100;1;1;False;0.90;0.0536;0.3703
sgns;False;True;False;False;50;5;False;False;15;1;100;1;1;False;0.60;0.4237;0.0000
sgns;False;True;False;False;50;5;False;False;15;1;100;1;1;False;0.70;0.3861;0.0000
sgns;False;True;False;False;50;5;False;False;15;1;100;1;1;False;0.80;0.2398;0.0000
sgns;False;True;False;False;50;5;False;False;15;1;100;1;1;False;0.90;0.0672;0.2613
sgns;False;False;False;False;100;5;False;False;15;1;100;1;1;False;0.60;0.3110;0.0000
sgns;False;False;False;False;100;5;False;False;15;1;100;1;1;False;0.70;0.2220;0.0002
sgns;False;False;False;False;100;5;False;False;15;1;100;1;1;False;0.80;0.1697;0.0048
sgns;False;False;False;False;100;5;False;False;15;1;100;1;1;False;0.90;0.1167;0.0532
sgns;False;True;False;False;100;5;False;False;15;1;100;1;1;False;0.60;0.3745;0.0000
sgns;False;True;False;False;100;5;False;False;15;1;100;1;1;False;0.70;0.3203;0.0000
sgns;False;True;False;False;100;5;False;False;15;1;100;1;1;False;0.80;0.2143;0.0003
sgns;False;True;False;False;100;5;False;False;15;1;100;1;1;False;0.90;0.1523;0.0115
sgns;False;False;False;False;10;7;False;False;15;1;100;1;1;False;0.60;0.4017;0.0000
sgns;False;False;False;False;10;7;False;False;15;1;100;1;1;False;0.70;0.3415;0.0000
sgns;False;False;False;False;10;7;False;False;15;1;100;1;1;False;0.80;0.1326;0.0259
sgns;False;False;False;False;10;7;False;False;15;1;100;1;1;False;0.90;0.0250;0.6760
sgns;False;True;False;False;10;7;False;False;15;1;100;1;1;False;0.60;0.4000;0.0000
sgns;False;True;False;False;10;7;False;False;15;1;100;1;1;False;0.70;0.3963;0.0000
sgns;False;True;False;False;10;7;False;False;15;1;100;1;1;False;0.80;0.1892;0.0014
sgns;False;True;False;False;10;7;False;False;15;1;100;1;1;False;0.90;0.0297;0.6197
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.60;0.3829;0.0000
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.70;0.2772;0.0000
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.80;0.1323;0.0266
sgns;False;False;False;False;50;7;False;False;15;1;100;1;1;False;0.90;0.0638;0.2866
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.60;0.4145;0.0000
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.70;0.3594;0.0000
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.80;0.1965;0.0009
sgns;False;True;False;False;50;7;False;False;15;1;100;1;1;False;0.90;0.0564;0.3466
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.60;0.2766;0.0000
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.70;0.1871;0.0018
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.80;0.1800;0.0027
sgns;False;False;False;False;100;7;False;False;15;1;100;1;1;False;0.90;0.0300;0.6208
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.60;0.3463;0.0000
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.70;0.2704;0.0000
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.80;0.1889;0.0017
sgns;False;True;False;False;100;7;False;False;15;1;100;1;1;False;0.90;0.1331;0.0274
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.60;0.4033;0.0000
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.70;0.3476;0.0000
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.80;0.1249;0.0361
sgns;False;False;False;False;10;10;False;False;15;1;100;1;1;False;0.90;0.0250;0.6765
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.60;0.3958;0.0000
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.70;0.3681;0.0000
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.80;0.1587;0.0076
sgns;False;True;False;False;10;10;False;False;15;1;100;1;1;False;0.90;0.0286;0.6323
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.60;0.3692;0.0000
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.70;0.2451;0.0000
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.80;0.1091;0.0679
sgns;False;False;False;False;50;10;False;False;15;1;100;1;1;False;0.90;0.0316;0.5977
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.60;0.4082;0.0000
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.70;0.3378;0.0000
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.80;0.1758;0.0031
sgns;False;True;False;False;50;10;False;False;15;1;100;1;1;False;0.90;0.0536;0.3710
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.60;0.2525;0.0000
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.70;0.1650;0.0061
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.80;0.1616;0.0073
sgns;False;False;False;False;100;10;False;False;15;1;100;1;1;False;0.90;-0.0272;0.6538
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.60;0.3225;0.0000
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.70;0.2349;0.0001
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.80;0.1854;0.0020
sgns;False;True;False;False;100;10;False;False;15;1;100;1;1;False;0.90;0.1913;0.0014
